"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"MUNICIPIO","4106571",NA,0.709,NA,NA
2015,"MUNICIPIO","4106605",NA,0.717,NA,NA
2015,"MUNICIPIO","4106704",NA,0.713,NA,NA
2015,"MUNICIPIO","4106852",NA,0.666,NA,NA
2015,"MUNICIPIO","4106902",NA,0.823,NA,NA
2015,"MUNICIPIO","4107009",NA,0.656,NA,NA
2015,"MUNICIPIO","4107157",NA,0.644,NA,NA
2015,"MUNICIPIO","4107108",NA,0.723,NA,NA
2015,"MUNICIPIO","4107124",NA,0.608,NA,NA
2015,"MUNICIPIO","4107207",NA,0.767,NA,NA
2015,"MUNICIPIO","4107256",NA,0.724,NA,NA
2015,"MUNICIPIO","4107306",NA,0.746,NA,NA
2015,"MUNICIPIO","4128633",NA,0.546,NA,NA
2015,"MUNICIPIO","4107405",NA,0.752,NA,NA
2015,"MUNICIPIO","4107504",NA,0.73,NA,NA
2015,"MUNICIPIO","4107538",NA,0.761,NA,NA
2015,"MUNICIPIO","4107520",NA,0.689,NA,NA
2015,"MUNICIPIO","4107546",NA,0.636,NA,NA
2015,"MUNICIPIO","4107553",NA,0.715,NA,NA
2015,"MUNICIPIO","4107603",NA,0.687,NA,NA
2015,"MUNICIPIO","4107652",NA,0.72,NA,NA
2015,"MUNICIPIO","4107702",NA,0.716,NA,NA
2015,"MUNICIPIO","4107736",NA,0.645,NA,NA
2015,"MUNICIPIO","4107751",NA,0.677,NA,NA
2015,"MUNICIPIO","4107850",NA,0.682,NA,NA
2015,"MUNICIPIO","4107801",NA,0.745,NA,NA
2015,"MUNICIPIO","4107900",NA,0.736,NA,NA
2015,"MUNICIPIO","4108007",NA,0.701,NA,NA
2015,"MUNICIPIO","4108106",NA,0.732,NA,NA
2015,"MUNICIPIO","4108205",NA,0.723,NA,NA
2015,"MUNICIPIO","4108304",NA,0.751,NA,NA
2015,"MUNICIPIO","4108452",NA,0.645,NA,NA
2015,"MUNICIPIO","4108320",NA,0.669,NA,NA
2015,"MUNICIPIO","4108403",NA,0.774,NA,NA
2015,"MUNICIPIO","4108502",NA,0.652,NA,NA
2015,"MUNICIPIO","4108551",NA,0.675,NA,NA
2015,"MUNICIPIO","4108601",NA,0.731,NA,NA
2015,"MUNICIPIO","4108650",NA,0.641,NA,NA
2015,"MUNICIPIO","4108700",NA,0.658,NA,NA
2015,"MUNICIPIO","4108809",NA,0.724,NA,NA
2015,"MUNICIPIO","4108908",NA,0.693,NA,NA
2015,"MUNICIPIO","4108957",NA,0.669,NA,NA
2015,"MUNICIPIO","4109005",NA,0.702,NA,NA
2015,"MUNICIPIO","4109104",NA,0.719,NA,NA
2015,"MUNICIPIO","4109203",NA,0.698,NA,NA
2015,"MUNICIPIO","4109302",NA,0.677,NA,NA
2015,"MUNICIPIO","4109401",NA,0.731,NA,NA
2015,"MUNICIPIO","4109500",NA,0.587,NA,NA
2015,"MUNICIPIO","4109609",NA,0.717,NA,NA
2015,"MUNICIPIO","4109658",NA,0.683,NA,NA
2015,"MUNICIPIO","4109708",NA,0.71,NA,NA
2015,"MUNICIPIO","4109757",NA,0.685,NA,NA
2015,"MUNICIPIO","4109807",NA,0.726,NA,NA
2015,"MUNICIPIO","4109906",NA,0.666,NA,NA
2015,"MUNICIPIO","4110003",NA,0.758,NA,NA
2015,"MUNICIPIO","4110052",NA,0.703,NA,NA
2015,"MUNICIPIO","4110078",NA,0.622,NA,NA
2015,"MUNICIPIO","4110102",NA,0.66,NA,NA
2015,"MUNICIPIO","4110201",NA,0.6,NA,NA
2015,"MUNICIPIO","4110300",NA,0.705,NA,NA
2015,"MUNICIPIO","4110409",NA,0.724,NA,NA
2015,"MUNICIPIO","4110508",NA,0.652,NA,NA
2015,"MUNICIPIO","4110607",NA,0.706,NA,NA
2015,"MUNICIPIO","4110656",NA,0.707,NA,NA
2015,"MUNICIPIO","4110706",NA,0.726,NA,NA
2015,"MUNICIPIO","4110805",NA,0.665,NA,NA
2015,"MUNICIPIO","4110904",NA,0.707,NA,NA
2015,"MUNICIPIO","4110953",NA,0.738,NA,NA
2015,"MUNICIPIO","4111001",NA,0.694,NA,NA
2015,"MUNICIPIO","4111100",NA,0.746,NA,NA
2015,"MUNICIPIO","4111209",NA,0.731,NA,NA
2015,"MUNICIPIO","4111258",NA,0.637,NA,NA
2015,"MUNICIPIO","4111308",NA,0.656,NA,NA
2015,"MUNICIPIO","4111407",NA,0.651,NA,NA
2015,"MUNICIPIO","4111506",NA,0.73,NA,NA
2015,"MUNICIPIO","4111555",NA,0.706,NA,NA
2015,"MUNICIPIO","4111605",NA,0.766,NA,NA
2015,"MUNICIPIO","4111704",NA,0.718,NA,NA
2015,"MUNICIPIO","4111803",NA,0.743,NA,NA
2015,"MUNICIPIO","4111902",NA,0.715,NA,NA
2015,"MUNICIPIO","4112009",NA,0.743,NA,NA
2015,"MUNICIPIO","4112108",NA,0.747,NA,NA
2015,"MUNICIPIO","4112207",NA,0.696,NA,NA
2015,"MUNICIPIO","4112306",NA,0.696,NA,NA
2015,"MUNICIPIO","4112405",NA,0.712,NA,NA
2015,"MUNICIPIO","4112504",NA,0.689,NA,NA
2015,"MUNICIPIO","4112603",NA,0.682,NA,NA
2015,"MUNICIPIO","4112702",NA,0.687,NA,NA
2015,"MUNICIPIO","4112751",NA,0.705,NA,NA
2015,"MUNICIPIO","4112801",NA,0.7,NA,NA
2015,"MUNICIPIO","4112900",NA,0.688,NA,NA
2015,"MUNICIPIO","4112959",NA,0.708,NA,NA
2015,"MUNICIPIO","4113007",NA,0.718,NA,NA
2015,"MUNICIPIO","4113106",NA,0.721,NA,NA
2015,"MUNICIPIO","4113205",NA,0.706,NA,NA
2015,"MUNICIPIO","4113254",NA,0.585,NA,NA
2015,"MUNICIPIO","4113304",NA,0.706,NA,NA
2015,"MUNICIPIO","4113403",NA,0.707,NA,NA
2015,"MUNICIPIO","4113429",NA,0.68,NA,NA
2015,"MUNICIPIO","4113452",NA,0.666,NA,NA
2015,"MUNICIPIO","4113502",NA,0.725,NA,NA
2015,"MUNICIPIO","4113601",NA,0.744,NA,NA
2015,"MUNICIPIO","4113700",NA,0.778,NA,NA
2015,"MUNICIPIO","4113734",NA,0.668,NA,NA
2015,"MUNICIPIO","4113759",NA,0.69,NA,NA
2015,"MUNICIPIO","4113809",NA,0.71,NA,NA
2015,"MUNICIPIO","4113908",NA,0.708,NA,NA
2015,"MUNICIPIO","4114005",NA,0.719,NA,NA
2015,"MUNICIPIO","4114104",NA,0.718,NA,NA
2015,"MUNICIPIO","4114203",NA,0.751,NA,NA
2015,"MUNICIPIO","4114302",NA,0.655,NA,NA
2015,"MUNICIPIO","4114351",NA,0.645,NA,NA
2015,"MUNICIPIO","4114401",NA,0.688,NA,NA
2015,"MUNICIPIO","4114500",NA,0.716,NA,NA
2015,"MUNICIPIO","4114609",NA,0.774,NA,NA
2015,"MUNICIPIO","4114708",NA,0.703,NA,NA
2015,"MUNICIPIO","4114807",NA,0.735,NA,NA
2015,"MUNICIPIO","4114906",NA,0.691,NA,NA
2015,"MUNICIPIO","4115002",NA,0.681,NA,NA
2015,"MUNICIPIO","4115101",NA,0.639,NA,NA
2015,"MUNICIPIO","4115200",NA,0.808,NA,NA
2015,"MUNICIPIO","4115309",NA,0.698,NA,NA
2015,"MUNICIPIO","4115358",NA,0.758,NA,NA
2015,"MUNICIPIO","4115408",NA,0.722,NA,NA
2015,"MUNICIPIO","4115457",NA,0.614,NA,NA
2015,"MUNICIPIO","4115507",NA,0.721,NA,NA
2015,"MUNICIPIO","4115606",NA,0.725,NA,NA
2015,"MUNICIPIO","4115705",NA,0.743,NA,NA
2015,"MUNICIPIO","4115739",NA,0.632,NA,NA
2015,"MUNICIPIO","4115754",NA,0.652,NA,NA
2015,"MUNICIPIO","4115804",NA,0.763,NA,NA
2015,"MUNICIPIO","4115853",NA,0.74,NA,NA
2015,"MUNICIPIO","4115903",NA,0.68,NA,NA
2015,"MUNICIPIO","4116000",NA,0.748,NA,NA
2015,"MUNICIPIO","4116059",NA,0.711,NA,NA
2015,"MUNICIPIO","4116109",NA,0.675,NA,NA
2015,"MUNICIPIO","4116208",NA,0.686,NA,NA
2015,"MUNICIPIO","4116307",NA,0.726,NA,NA
2015,"MUNICIPIO","4116406",NA,0.709,NA,NA
2015,"MUNICIPIO","4116505",NA,0.717,NA,NA
2015,"MUNICIPIO","4116604",NA,0.698,NA,NA
2015,"MUNICIPIO","4116703",NA,0.733,NA,NA
2015,"MUNICIPIO","4116802",NA,0.658,NA,NA
2015,"MUNICIPIO","4116901",NA,0.722,NA,NA
2015,"MUNICIPIO","4116950",NA,0.714,NA,NA
2015,"MUNICIPIO","4117008",NA,0.688,NA,NA
2015,"MUNICIPIO","4117057",NA,0.642,NA,NA
2015,"MUNICIPIO","4117107",NA,0.758,NA,NA
2015,"MUNICIPIO","4117206",NA,0.71,NA,NA
2015,"MUNICIPIO","4117255",NA,0.716,NA,NA
2015,"MUNICIPIO","4117214",NA,0.68,NA,NA
2015,"MUNICIPIO","4117222",NA,0.731,NA,NA
2015,"MUNICIPIO","4117271",NA,0.651,NA,NA
2015,"MUNICIPIO","4117297",NA,0.71,NA,NA
2015,"MUNICIPIO","4117305",NA,0.609,NA,NA
2015,"MUNICIPIO","4117404",NA,0.72,NA,NA
2015,"MUNICIPIO","4117453",NA,0.709,NA,NA
2015,"MUNICIPIO","4117503",NA,0.716,NA,NA
2015,"MUNICIPIO","4117602",NA,0.66,NA,NA
2015,"MUNICIPIO","4117701",NA,0.718,NA,NA
